32-in-1 game cartridge,-.01,-.01,-.01,,68838,https://www.pricecharting.com/game/atari-7800/32-in-1-game-cartridge 
Ace of Aces,4.99,8.99,14.99,077000502230,20128,https://www.pricecharting.com/game/atari-7800/ace-of-aces 
Alien Brigade,109.99,124.99,219.99,077000503336,20129,https://www.pricecharting.com/game/atari-7800/alien-brigade 
Armor Attack II [Homebrew],13.99,29.99,59.99,,67710,https://www.pricecharting.com/game/atari-7800/armor-attack-ii-homebrew 
Asteroids,1.99,5.99,7.99,,32458,https://www.pricecharting.com/game/atari-7800/asteroids 
Astro Blaster [Homebrew],ND,ND,ND,,2056934,https://www.pricecharting.com/game/atari-7800/astro-blaster-homebrew 
Astro Fighter [Homebrew],ND,ND,ND,,2056935,https://www.pricecharting.com/game/atari-7800/astro-fighter-homebrew 
Baby Pac-Man [Homebrew],29.99,34.99,49.99,,67508,https://www.pricecharting.com/game/atari-7800/baby-pac-man-homebrew 
Ballblazer,19.99,19.99,19.99,077000410078,20132,https://www.pricecharting.com/game/atari-7800/ballblazer 
Barnyard Blaster,8.99,13.99,19.99,077000502223,20133,https://www.pricecharting.com/game/atari-7800/barnyard-blaster 
Basketbrawl,34.99,54.99,69.99,077000503671,20134,https://www.pricecharting.com/game/atari-7800/basketbrawl 
Beef Drop [Homebrew],ND,ND,ND,,2056936,https://www.pricecharting.com/game/atari-7800/beef-drop-homebrew 
Centipede,1.99,5.99,13.99,077000400154,20135,https://www.pricecharting.com/game/atari-7800/centipede 
Choplifter,1.99,4.99,6.99,077000400437,20136,https://www.pricecharting.com/game/atari-7800/choplifter 
Commando,44.99,74.99,94.99,077000502261,20137,https://www.pricecharting.com/game/atari-7800/commando 
Crack'ed,5.99,9.99,14.99,077000502278,32408,https://www.pricecharting.com/game/atari-7800/crack%27ed 
Crazy Brix [Homebrew],ND,ND,ND,,2060241,https://www.pricecharting.com/game/atari-7800/crazy-brix-homebrew 
Crossbow,7.99,9.99,19.99,077000502209,20138,https://www.pricecharting.com/game/atari-7800/crossbow 
Crystal Quest [Homebrew],ND,ND,ND,,2060244,https://www.pricecharting.com/game/atari-7800/crystal-quest-homebrew 
Dark Chambers,15.99,19.99,29.99,077000502056,20140,https://www.pricecharting.com/game/atari-7800/dark-chambers 
Desert Falcon,6.99,7.99,19.99,077000400475,20141,https://www.pricecharting.com/game/atari-7800/desert-falcon 
Dig Dug,3.99,5.99,14.99,,20142,https://www.pricecharting.com/game/atari-7800/dig-dug 
Donkey Kong,6.99,18.99,34.99,077000502100,20143,https://www.pricecharting.com/game/atari-7800/donkey-kong 
Donkey Kong Junior,6.99,17.99,29.99,077000501813,20144,https://www.pricecharting.com/game/atari-7800/donkey-kong-junior 
Double Dragon,34.99,69.99,119.99,047875150508,20145,https://www.pricecharting.com/game/atari-7800/double-dragon 
Dragon's Cache [Homebrew],ND,ND,ND,,2290938,https://www.pricecharting.com/game/atari-7800/dragon%27s-cache-homebrew 
Dungeon Stalker [Homebrew],ND,ND,ND,,2060245,https://www.pricecharting.com/game/atari-7800/dungeon-stalker-homebrew 
F-18 Hornet,8.99,29.99,59.99,047875150447,20148,https://www.pricecharting.com/game/atari-7800/f-18-hornet 
FailSafe [Homebrew],ND,ND,ND,,2060246,https://www.pricecharting.com/game/atari-7800/failsafe-homebrew 
Fatal Run,49.99,79.99,174.99,077000502308,20149,https://www.pricecharting.com/game/atari-7800/fatal-run 
Fight Night,5.99,17.99,29.99,077000502049,20150,https://www.pricecharting.com/game/atari-7800/fight-night 
Food Fight,4.99,8.99,24.99,077000400161,20151,https://www.pricecharting.com/game/atari-7800/food-fight 
Frenzy [Homebrew],ND,ND,ND,,2060247,https://www.pricecharting.com/game/atari-7800/frenzy-homebrew 
Froggie [Homebrew],39.99,84.99,174.99,,723110,https://www.pricecharting.com/game/atari-7800/froggie-homebrew 
Galaga,4.99,8.99,16.99,077000700049,20152,https://www.pricecharting.com/game/atari-7800/galaga 
Hat Trick,1.99,1.99,6.99,077000410061,20153,https://www.pricecharting.com/game/atari-7800/hat-trick 
Ikari Warriors,89.99,119.99,144.99,077000505194,20157,https://www.pricecharting.com/game/atari-7800/ikari-warriors 
Impossible Mission,19.99,29.99,49.99,077000400598,20158,https://www.pricecharting.com/game/atari-7800/impossible-mission 
Jinks,1.99,4.99,6.99,077000502070,20159,https://www.pricecharting.com/game/atari-7800/jinks 
Joust,3.99,7.99,15.99,077000400147,20160,https://www.pricecharting.com/game/atari-7800/joust 
Jr. Pac-Man [Homebrew],ND,ND,ND,,2060248,https://www.pricecharting.com/game/atari-7800/jr-pac-man-homebrew 
K.C. Munchkin [Homebrew],ND,ND,ND,,1850191,https://www.pricecharting.com/game/atari-7800/kc-munchkin-homebrew 
Karateka,1.99,6.99,8.99,077000400420,20163,https://www.pricecharting.com/game/atari-7800/karateka 
Klax [Homebrew],39.99,189.99,279.99,,20164,https://www.pricecharting.com/game/atari-7800/klax-homebrew 
Kung-Fu Master,59.99,74.99,109.99,047875150393,20165,https://www.pricecharting.com/game/atari-7800/kung-fu-master 
Mario Bros.,14.99,29.99,184.99,077000502193,20168,https://www.pricecharting.com/game/atari-7800/mario-bros 
Mat Mania Challenge,9.99,39.99,74.99,077000505187,20169,https://www.pricecharting.com/game/atari-7800/mat-mania-challenge 
Mean 18 Ultimate Golf,44.99,64.99,144.99,077000502506,20170,https://www.pricecharting.com/game/atari-7800/mean-18-ultimate-golf 
Meltdown,14.99,16.99,24.99,077000504456,20171,https://www.pricecharting.com/game/atari-7800/meltdown 
Meteor Shower [Homebrew],ND,ND,ND,,2062166,https://www.pricecharting.com/game/atari-7800/meteor-shower-homebrew 
Midnight Mutants,94.99,104.99,129.99,077000503480,20172,https://www.pricecharting.com/game/atari-7800/midnight-mutants 
Moon Cresta [Homebrew],ND,ND,ND,,2062167,https://www.pricecharting.com/game/atari-7800/moon-cresta-homebrew 
Motor Psycho,39.99,59.99,104.99,077000502711,20174,https://www.pricecharting.com/game/atari-7800/motor-psycho 
Ms. Pac-Man,4.99,7.99,15.99,077000400130,20175,https://www.pricecharting.com/game/atari-7800/ms-pac-man 
Ninja Golf,69.99,114.99,134.99,077000505163,20178,https://www.pricecharting.com/game/atari-7800/ninja-golf 
One-on-One Basketball,1.99,4.99,6.99,077000400482,20162,https://www.pricecharting.com/game/atari-7800/one-on-one-basketball 
Pac-Man Collection [Homebrew],ND,ND,ND,,2062168,https://www.pricecharting.com/game/atari-7800/pac-man-collection-homebrew 
Pete Rose Baseball,18.99,74.99,94.99,047875150454,20179,https://www.pricecharting.com/game/atari-7800/pete-rose-baseball 
Planet Smashers,34.99,54.99,109.99,077000505170,20180,https://www.pricecharting.com/game/atari-7800/planet-smashers 
Pole Position II,1.99,4.99,6.99,077000502117,20181,https://www.pricecharting.com/game/atari-7800/pole-position-ii 
Rampage,34.99,129.99,189.99,047875150492,20184,https://www.pricecharting.com/game/atari-7800/rampage 
RealSports Baseball,1.99,4.99,6.99,077000502162,20185,https://www.pricecharting.com/game/atari-7800/realsports-baseball 
Rikki & Vikki [Homebrew],18.99,114.99,159.99,,61461,https://www.pricecharting.com/game/atari-7800/rikki-&-vikki-homebrew 
Rip-Off [Homebrew],ND,ND,ND,,2062170,https://www.pricecharting.com/game/atari-7800/rip-off-homebrew 
Robotron: 2084,5.99,9.99,19.99,077000400178,20187,https://www.pricecharting.com/game/atari-7800/robotron-2084 
Scramble [Homebrew],ND,ND,ND,,2062171,https://www.pricecharting.com/game/atari-7800/scramble-homebrew 
Scrapyard Dog,29.99,49.99,59.99,077000504166,20190,https://www.pricecharting.com/game/atari-7800/scrapyard-dog 
Sentinel,49.99,114.99,229.99,,584097,https://www.pricecharting.com/game/atari-7800/sentinel 
Serpentine [Homebrew],ND,ND,ND,,2062173,https://www.pricecharting.com/game/atari-7800/serpentine-homebrew 
Space Duel [Homebrew],ND,ND,ND,,3010282,https://www.pricecharting.com/game/atari-7800/space-duel-homebrew 
Space Invaders [Homebrew],ND,ND,ND,,2062174,https://www.pricecharting.com/game/atari-7800/space-invaders-homebrew 
Summer Games,19.99,64.99,89.99,077000400574,20192,https://www.pricecharting.com/game/atari-7800/summer-games 
Super Circus AtariAge [Homebrew],ND,ND,ND,,2062175,https://www.pricecharting.com/game/atari-7800/super-circus-atariage-homebrew 
Super Huey UH-IX,6.99,7.99,17.99,077000502148,20194,https://www.pricecharting.com/game/atari-7800/super-huey-uh-ix 
Super Pac-Man [Homebrew],ND,ND,ND,,2062176,https://www.pricecharting.com/game/atari-7800/super-pac-man-homebrew 
Super Skateboardin',19.99,69.99,84.99,047875150478,20193,https://www.pricecharting.com/game/atari-7800/super-skateboardin' 
T:ME Salvo [Homebrew],ND,ND,ND,,2062177,https://www.pricecharting.com/game/atari-7800/tme-salvo-homebrew 
Tank Command,154.99,324.99,569.99,024935020032,20196,https://www.pricecharting.com/game/atari-7800/tank-command 
Title Match Pro Wrestling,19.99,74.99,134.99,78001989047875150416,20199,https://www.pricecharting.com/game/atari-7800/title-match-pro-wrestling 
Tomcat F-14 Flight Simulator,7.99,34.99,49.99,047875150461,20200,https://www.pricecharting.com/game/atari-7800/tomcat-f-14-flight-simulator 
Touchdown Football,4.99,8.99,16.99,077000502254,20201,https://www.pricecharting.com/game/atari-7800/touchdown-football 
Tower Toppler,6.99,7.99,17.99,077000502063,20202,https://www.pricecharting.com/game/atari-7800/tower-toppler 
Water Ski,44.99,49.99,84.99,024935020025,20206,https://www.pricecharting.com/game/atari-7800/water-ski 
Winter Games,5.99,9.99,19.99,077000400550,20208,https://www.pricecharting.com/game/atari-7800/winter-games 
Xenophobe,19.99,34.99,39.99,077000502605,20209,https://www.pricecharting.com/game/atari-7800/xenophobe 
Xevious,1.99,4.99,6.99,077000400192,20210,https://www.pricecharting.com/game/atari-7800/xevious 
b*nQ [Homebrew],ND,ND,ND,,2060239,https://www.pricecharting.com/game/atari-7800/b*nq-homebrew 
