Action Fighter,8.99,11.99,29.99,010086050554,18754,http://videogames.pricecharting.com/game/sega-master-system/action-fighter 
Aerial Assault,8.99,69.99,139.99,010086070415,18756,http://videogames.pricecharting.com/game/sega-master-system/aerial-assault 
After Burner,7.99,9.99,109.99,010086090017,18757,http://videogames.pricecharting.com/game/sega-master-system/after-burner 
Alex Kidd in High-Tech World,19.99,34.99,139.99,010086051162,18762,http://videogames.pricecharting.com/game/sega-master-system/alex-kidd-in-high-tech-world 
Alex Kidd in Miracle World,24.99,39.99,84.99,010086050677,18761,http://videogames.pricecharting.com/game/sega-master-system/alex-kidd-in-miracle-world 
Alex Kidd in Shinobi World,89.99,99.99,199.99,010086070446069044070448,18764,http://videogames.pricecharting.com/game/sega-master-system/alex-kidd-in-shinobi-world 
Alex Kidd the Lost Stars,13.99,24.99,49.99,070129290774010086070057,18763,http://videogames.pricecharting.com/game/sega-master-system/alex-kidd-the-lost-stars 
Alf,59.99,164.99,334.99,010086051117,18766,http://videogames.pricecharting.com/game/sega-master-system/alf 
Alien Syndrome,9.99,17.99,74.99,010086070064,18768,http://videogames.pricecharting.com/game/sega-master-system/alien-syndrome 
Altered Beast,7.99,13.99,34.99,010086070187,18770,http://videogames.pricecharting.com/game/sega-master-system/altered-beast 
Astro Warrior,8.99,13.99,24.99,010086050691,18778,http://videogames.pricecharting.com/game/sega-master-system/astro-warrior 
Aztec Adventure,7.99,13.99,34.99,010086051001,18780,http://videogames.pricecharting.com/game/sega-master-system/aztec-adventure 
Black Belt,7.99,9.99,64.99,010086050547,18789,http://videogames.pricecharting.com/game/sega-master-system/black-belt 
Blade Eagle 3D,13.99,19.99,39.99,010086080056,18790,http://videogames.pricecharting.com/game/sega-master-system/blade-eagle-3d 
Bomber Raid,8.99,24.99,149.99,047875150034,18791,http://videogames.pricecharting.com/game/sega-master-system/bomber-raid 
California Games,9.99,12.99,29.99,010086070149069044096806,18797,http://videogames.pricecharting.com/game/sega-master-system/california-games 
Captain Silver,19.99,29.99,49.99,010086051179,18799,http://videogames.pricecharting.com/game/sega-master-system/captain-silver 
Casino Games,6.99,18.99,34.99,010086070217,18800,http://videogames.pricecharting.com/game/sega-master-system/casino-games 
Castle of Illusion Starring Mickey Mouse,ND,ND,ND,,,http://videogames.pricecharting.com/game/sega-master-system/castle-of-illusion-starring-mickey-mouse 
Choplifter!,7.99,11.99,29.99,010086050516,30884,http://videogames.pricecharting.com/game/sega-master-system/choplifter 
Cloud Master,12.99,24.99,54.99,069044070271010086070279,18809,http://videogames.pricecharting.com/game/sega-master-system/cloud-master 
Columns,9.99,17.99,34.99,010086051209,18810,http://videogames.pricecharting.com/game/sega-master-system/columns 
Cyborg Hunter,10.99,19.99,69.99,047875150027,18814,http://videogames.pricecharting.com/game/sega-master-system/cyborg-hunter 
Dead Angle,13.99,39.99,129.99,010086070309,18817,http://videogames.pricecharting.com/game/sega-master-system/dead-angle 
Dick Tracy,19.99,174.99,349.99,010086070576,18821,http://videogames.pricecharting.com/game/sega-master-system/dick-tracy 
Double Dragon,10.99,18.99,74.99,010086070125,18823,http://videogames.pricecharting.com/game/sega-master-system/double-dragon 
Enduro Racer,6.99,10.99,54.99,010086050776,18833,http://videogames.pricecharting.com/game/sega-master-system/enduro-racer 
E-SWAT,29.99,79.99,159.99,010086070422,18830,http://videogames.pricecharting.com/game/sega-master-system/e-swat 
F-16 Fighting Falcon,7.99,9.99,24.99,010086040050,18834,http://videogames.pricecharting.com/game/sega-master-system/f-16-fighting-falcon 
Fantasy Zone,34.99,49.99,139.99,010086050523,18837,http://videogames.pricecharting.com/game/sega-master-system/fantasy-zone 
Fantasy Zone II,29.99,44.99,89.99,010086070040,18840,http://videogames.pricecharting.com/game/sega-master-system/fantasy-zone-ii 
Fantasy Zone the Maze,19.99,29.99,59.99,010086051087,18838,http://videogames.pricecharting.com/game/sega-master-system/fantasy-zone-the-maze 
Galaxy Force,34.99,79.99,154.99,047875750043,18848,http://videogames.pricecharting.com/game/sega-master-system/galaxy-force 
Gangster Town,6.99,9.99,24.99,001008650747010086050745,18852,http://videogames.pricecharting.com/game/sega-master-system/gangster-town 
Ghostbusters,12.99,19.99,39.99,010086050653,18856,http://videogames.pricecharting.com/game/sega-master-system/ghostbusters 
Ghost House,24.99,29.99,64.99,010086040029,18857,http://videogames.pricecharting.com/game/sega-master-system/ghost-house 
Ghouls N Ghosts,54.99,129.99,264.99,010086070552,18858,http://videogames.pricecharting.com/game/sega-master-system/ghouls-n-ghosts 
Global Defense,5.99,7.99,29.99,010086051025,18859,http://videogames.pricecharting.com/game/sega-master-system/global-defense 
Golden Axe,18.99,44.99,94.99,010086090048069044090071,18860,http://videogames.pricecharting.com/game/sega-master-system/golden-axe 
Golden Axe Warrior,184.99,334.99,669.99,010086075052,18861,http://videogames.pricecharting.com/game/sega-master-system/golden-axe-warrior 
Golvellius Valley of Doom,34.99,54.99,84.99,010086070170,18863,http://videogames.pricecharting.com/game/sega-master-system/golvellius-valley-of-doom 
Great Baseball,1.99,6.99,19.99,010086050615,18869,http://videogames.pricecharting.com/game/sega-master-system/great-baseball 
Great Basketball,2.99,6.99,13.99,010086050714,18867,http://videogames.pricecharting.com/game/sega-master-system/great-basketball 
Great Football,1.99,5.99,29.99,010086050585,18870,http://videogames.pricecharting.com/game/sega-master-system/great-football 
Great Golf,5.99,6.99,19.99,010086050578,18865,http://videogames.pricecharting.com/game/sega-master-system/great-golf 
Great Ice Hockey,10.99,29.99,59.99,010086050622,18868,http://videogames.pricecharting.com/game/sega-master-system/great-ice-hockey 
Great Soccer,3.99,9.99,19.99,010086050592,18864,http://videogames.pricecharting.com/game/sega-master-system/great-soccer 
Great Volleyball,6.99,10.99,24.99,010086050707,18871,http://videogames.pricecharting.com/game/sega-master-system/great-volleyball 
Hang-On and Astro Warrior,6.99,12.99,29.99,030800008470,18873,http://videogames.pricecharting.com/game/sega-master-system/hang-on-and-astro-warrior 
Hang-On and Safari Hunt,5.99,6.99,18.99,010086060119,18874,http://videogames.pricecharting.com/game/sega-master-system/hang-on-and-safari-hunt 
James Buster Douglas Knockout Boxing,399.99,959.99,1919.99,010086070637,18880,http://videogames.pricecharting.com/game/sega-master-system/james-buster-douglas-knockout-boxing 
Joe Montana Football,3.99,19.99,34.99,010086070620,18883,http://videogames.pricecharting.com/game/sega-master-system/joe-montana-football 
Kenseiden,19.99,39.99,74.99,010086070132,18885,http://videogames.pricecharting.com/game/sega-master-system/kenseiden 
Kings Quest,44.99,99.99,199.99,073000043605,18886,http://videogames.pricecharting.com/game/sega-master-system/king%27s-quest 
Kung Fu Kid,10.99,19.99,39.99,010086050783,18889,http://videogames.pricecharting.com/game/sega-master-system/kung-fu-kid 
Lord of the Sword,13.99,29.99,59.99,010086070163,18896,http://videogames.pricecharting.com/game/sega-master-system/lord-of-the-sword 
Marksman Shooting and Trap Shooting,3.99,7.99,34.99,010086060034,18899,http://videogames.pricecharting.com/game/sega-master-system/marksman-shooting-and-trap-shooting 
Maze Hunter 3D,2.99,9.99,29.99,010086080032,18904,http://videogames.pricecharting.com/game/sega-master-system/maze-hunter-3d 
Michael Jacksons Moonwalker,34.99,74.99,154.99,010086070521,18906,http://videogames.pricecharting.com/game/sega-master-system/michael-jackson%27s-moonwalker 
Miracle Warriors,12.99,39.99,84.99,010086075007,18909,http://videogames.pricecharting.com/game/sega-master-system/miracle-warriors 
Missile Defense 3D,2.99,6.99,19.99,010086080018,18910,http://videogames.pricecharting.com/game/sega-master-system/missile-defense-3d 
Monopoly,5.99,6.99,34.99,010086055009,18913,http://videogames.pricecharting.com/game/sega-master-system/monopoly 
Montezumas Revenge,59.99,99.99,139.99,073000043704,18914,http://videogames.pricecharting.com/game/sega-master-system/montezuma%27s-revenge 
My Hero,24.99,34.99,74.99,010086040012,18919,http://videogames.pricecharting.com/game/sega-master-system/my-hero 
OutRun,7.99,13.99,29.99,010086070033,18924,http://videogames.pricecharting.com/game/sega-master-system/outrun 
Paperboy,24.99,34.99,104.99,010086051216,18929,http://videogames.pricecharting.com/game/sega-master-system/paperboy 
Parlour Games,3.99,6.99,17.99,010086051032,18930,http://videogames.pricecharting.com/game/sega-master-system/parlour-games 
Penguin Land,10.99,24.99,69.99,010086055016,32896,http://videogames.pricecharting.com/game/sega-master-system/penguin-land 
Phantasy Star,64.99,134.99,269.99,010086095005,18932,http://videogames.pricecharting.com/game/sega-master-system/phantasy-star 
Poseidon Wars 3D,18.99,29.99,69.99,010086080063,18935,http://videogames.pricecharting.com/game/sega-master-system/poseidon-wars-3d 
Power Strike,89.99,189.99,384.99,010086051094,18936,http://videogames.pricecharting.com/game/sega-master-system/power-strike 
Pro Wrestling,2.99,8.99,24.99,010086050561,18940,http://videogames.pricecharting.com/game/sega-master-system/pro-wrestling 
Psycho Fox,59.99,89.99,319.99,010086070323069044070325,18942,http://videogames.pricecharting.com/game/sega-master-system/psycho-fox 
Quartet,18.99,34.99,69.99,010086050738,18944,http://videogames.pricecharting.com/game/sega-master-system/quartet 
Rambo First Blood Part II,9.99,19.99,974.99,010086050646,18950,http://videogames.pricecharting.com/game/sega-master-system/rambo-first-blood-part-ii 
Rambo III,13.99,19.99,44.99,010086070156,18948,http://videogames.pricecharting.com/game/sega-master-system/rambo-iii 
Rampage,19.99,29.99,59.99,047875150010,18952,http://videogames.pricecharting.com/game/sega-master-system/rampage 
Rastan,24.99,39.99,74.99,010086070224,18953,http://videogames.pricecharting.com/game/sega-master-system/rastan 
RC Grand Prix,19.99,54.99,79.99,716065222782,18946,http://videogames.pricecharting.com/game/sega-master-system/rc-grand-prix 
Reggie Jackson Baseball,6.99,11.99,49.99,010086070194,18954,http://videogames.pricecharting.com/game/sega-master-system/reggie-jackson-baseball 
Rescue Mission,6.99,9.99,24.99,010086051063,18957,http://videogames.pricecharting.com/game/sega-master-system/rescue-mission 
Rocky,6.99,12.99,29.99,010086070026,18961,http://videogames.pricecharting.com/game/sega-master-system/rocky 
R-Type,29.99,34.99,49.99,010086090024,18945,http://videogames.pricecharting.com/game/sega-master-system/r-type 
Sega Master System,ND,ND,ND,,,http://videogames.pricecharting.com/game/sega-master-system/sega-master-system 
Shanghai,2.99,6.99,13.99,010086051100,18975,http://videogames.pricecharting.com/game/sega-master-system/shanghai 
Shinobi,18.99,24.99,54.99,013131284591010086070095,18976,http://videogames.pricecharting.com/game/sega-master-system/shinobi 
Shooting Gallery,5.99,8.99,29.99,010086050721,18977,http://videogames.pricecharting.com/game/sega-master-system/shooting-gallery 
Slap Shot,29.99,74.99,149.99,010086070354069044070356,18978,http://videogames.pricecharting.com/game/sega-master-system/slap-shot 
Sonic the Hedgehog,499.99,639.99,1189.99,010086070767,18981,http://videogames.pricecharting.com/game/sega-master-system/sonic-the-hedgehog 
Sonic the Hedgehog (US Version),ND,ND,ND,,,http://videogames.pricecharting.com/game/sega-master-system/sonic-the-hedgehog-%28us-version%29 
Space Harrier,7.99,18.99,59.99,010086070019,18986,http://videogames.pricecharting.com/game/sega-master-system/space-harrier 
Spellcaster,19.99,34.99,164.99,010086090031,18991,http://videogames.pricecharting.com/game/sega-master-system/spellcaster 
Spiderman,29.99,229.99,454.99,618870101125,18992,http://videogames.pricecharting.com/game/sega-master-system/spiderman 
Sports Pad Football,12.99,19.99,29.99,010086050608,18994,http://videogames.pricecharting.com/game/sega-master-system/sports-pad-football 
Spy vs. Spy,19.99,29.99,99.99,010086040104,18995,http://videogames.pricecharting.com/game/sega-master-system/spy-vs-spy 
Strider,24.99,54.99,274.99,010086090055,19000,http://videogames.pricecharting.com/game/sega-master-system/strider 
Super Monaco GP,59.99,144.99,289.99,010086070439,19003,http://videogames.pricecharting.com/game/sega-master-system/super-monaco-gp 
Super Monaco GP II,3.99,10.99,24.99,,19005,http://videogames.pricecharting.com/game/sega-master-system/super-monaco-gp-ii 
Super Tennis,7.99,18.99,34.99,010086040074,19008,http://videogames.pricecharting.com/game/sega-master-system/super-tennis 
Teddy Boy,24.99,49.99,104.99,010086040036,19016,http://videogames.pricecharting.com/game/sega-master-system/teddy-boy 
The Ninja,9.99,19.99,44.99,010086050660,19019,http://videogames.pricecharting.com/game/sega-master-system/the-ninja 
Thunder Blade,5.99,8.99,19.99,010086070118,19033,http://videogames.pricecharting.com/game/sega-master-system/thunder-blade 
Time Soldiers,11.99,24.99,64.99,010086070248,19035,http://videogames.pricecharting.com/game/sega-master-system/time-soldiers 
Transbot,24.99,29.99,109.99,010086040043,19038,http://videogames.pricecharting.com/game/sega-master-system/transbot 
Vigilante,11.99,24.99,49.99,010086070231,19042,http://videogames.pricecharting.com/game/sega-master-system/vigilante 
Walter Payton Football,17.99,24.99,54.99,010086070200,21926,http://videogames.pricecharting.com/game/sega-master-system/walter-payton-football 
Where in the World is Carmen Sandiego,6.99,10.99,34.99,073000043506,19045,http://videogames.pricecharting.com/game/sega-master-system/where-in-the-world-is-carmen-sandiego 
Wonder Boy,24.99,39.99,84.99,010086050684,19050,http://videogames.pricecharting.com/game/sega-master-system/wonder-boy 
Wonder Boy III the Dragons Trap,34.99,44.99,94.99,010086070262069044070264,19051,http://videogames.pricecharting.com/game/sega-master-system/wonder-boy-iii-the-dragon%27s-trap 
Wonder Boy in Monster Land,29.99,44.99,109.99,010086070071,19052,http://videogames.pricecharting.com/game/sega-master-system/wonder-boy-in-monster-land 
World Grand Prix,2.99,8.99,39.99,010086050530,19057,http://videogames.pricecharting.com/game/sega-master-system/world-grand-prix 
Ys the Vanished Omens,59.99,94.99,129.99,010086075014,19064,http://videogames.pricecharting.com/game/sega-master-system/ys-the-vanished-omens 
Zaxxon 3D,6.99,10.99,19.99,010086080025,19065,http://videogames.pricecharting.com/game/sega-master-system/zaxxon-3d 
Zillion,11.99,19.99,39.99,010086050752,19067,http://videogames.pricecharting.com/game/sega-master-system/zillion 
Zillion II,10.99,19.99,39.99,010086051056,19066,http://videogames.pricecharting.com/game/sega-master-system/zillion-ii 
